2025-04-18 15:27:55.444987: Delhi | 41.22°C | clear sky | Humidity: 14%
2025-04-18 15:27:55.552984: Vijayawada | 37.12°C | scattered clouds | Humidity: 35%
2025-04-18 15:27:55.657112: Antarctica | -48.16°C | overcast clouds | Humidity: 98%
2025-04-18 15:27:55.766832: New York | 9.57°C | clear sky | Humidity: 54%
2025-04-18 15:27:55.828758: London | 14.27°C | overcast clouds | Humidity: 61%
2025-04-18 15:27:55.890824: Tokyo | 20.68°C | overcast clouds | Humidity: 63%
2025-04-18 15:59:00.254850: Hyderabad | 33.75°C | broken clouds | Humidity: 34%
2025-04-18 15:59:00.323107: Nuzvid | 35.14°C | few clouds | Humidity: 41%
2025-04-18 15:59:00.382586: Delhi | 41.22°C | clear sky | Humidity: 14%
2025-04-18 15:59:00.489259: Vijayawada | 37.12°C | scattered clouds | Humidity: 35%
2025-04-18 15:59:00.561216: Antarctica | -48.16°C | overcast clouds | Humidity: 98%
2025-04-18 15:59:00.621735: New York | 9.54°C | clear sky | Humidity: 54%
2025-04-18 15:59:00.678683: London | 14.52°C | overcast clouds | Humidity: 59%
2025-04-18 15:59:00.782858: Tokyo | 20.68°C | overcast clouds | Humidity: 63%
2025-04-18 15:59:00.886387: Nellore | 35.97°C | few clouds | Humidity: 45%
